qt;choice-1;choice-2;choice-3;choice-4
2;dessert-2;dessert-3;dessert-1;dessert-4
2;dessert-4;dessert-3;dessert-2;dessert-1
1;dessert-4;dessert-3;dessert-1;dessert-2
3;dessert-2;dessert-1;dessert-4;dessert-3
1;dessert-4;dessert-3;dessert-2;dessert-1
2;dessert-1;dessert-4;dessert-3;dessert-2
2;dessert-1;dessert-2;dessert-3;dessert-4
3;dessert-3;dessert-1;dessert-2;dessert-4
1;dessert-4;dessert-2;dessert-1;dessert-3
1;dessert-1;dessert-3;dessert-4;dessert-2
1;dessert-3;dessert-4;dessert-1;dessert-2
3;dessert-3;dessert-4;dessert-2;dessert-1
2;dessert-3;dessert-1;dessert-2;dessert-4
2;dessert-3;dessert-2;dessert-4;dessert-1
1;dessert-1;dessert-3;dessert-4;dessert-2
1;dessert-2;dessert-4;dessert-1;dessert-3
1;dessert-2;dessert-4;dessert-1;dessert-3
1;dessert-1;dessert-3;dessert-4;dessert-2
2;dessert-1;dessert-4;dessert-2;dessert-3
3;dessert-2;dessert-1;dessert-4;dessert-3
1;dessert-1;dessert-4;dessert-2;dessert-3
3;dessert-3;dessert-2;dessert-4;dessert-1
3;dessert-3;dessert-2;dessert-1;dessert-4
2;dessert-1;dessert-2;dessert-3;dessert-4
3;dessert-1;dessert-3;dessert-4;dessert-2
1;dessert-1;dessert-2;dessert-4;dessert-3
1;dessert-2;dessert-4;dessert-1;dessert-3
2;dessert-2;dessert-3;dessert-4;dessert-1
2;dessert-4;dessert-2;dessert-1;dessert-3
3;dessert-1;dessert-3;dessert-4;dessert-2
1;dessert-1;dessert-3;dessert-4;dessert-2
3;dessert-4;dessert-1;dessert-2;dessert-3
1;dessert-3;dessert-2;dessert-1;dessert-4
1;dessert-3;dessert-2;dessert-1;dessert-4
2;dessert-1;dessert-4;dessert-2;dessert-3
1;dessert-2;dessert-3;dessert-4;dessert-1
2;dessert-2;dessert-4;dessert-3;dessert-1
1;dessert-4;dessert-3;dessert-1;dessert-2
2;dessert-1;dessert-4;dessert-3;dessert-2
1;dessert-2;dessert-3;dessert-4;dessert-1
3;dessert-4;dessert-1;dessert-2;dessert-3
1;dessert-2;dessert-1;dessert-4;dessert-3
1;dessert-3;dessert-1;dessert-2;dessert-4
2;dessert-3;dessert-2;dessert-4;dessert-1
3;dessert-1;dessert-2;dessert-3;dessert-4
3;dessert-3;dessert-4;dessert-2;dessert-1
1;dessert-1;dessert-2;dessert-4;dessert-3
1;dessert-4;dessert-1;dessert-2;dessert-3
1;dessert-4;dessert-2;dessert-1;dessert-3
3;dessert-1;dessert-2;dessert-4;dessert-3
3;dessert-4;dessert-3;dessert-1;dessert-2
1;dessert-2;dessert-3;dessert-4;dessert-1
1;dessert-1;dessert-2;dessert-3;dessert-4
1;dessert-1;dessert-2;dessert-4;dessert-3
3;dessert-4;dessert-3;dessert-1;dessert-2
1;dessert-4;dessert-1;dessert-3;dessert-2
3;dessert-1;dessert-4;dessert-3;dessert-2
1;dessert-2;dessert-3;dessert-4;dessert-1
1;dessert-2;dessert-4;dessert-3;dessert-1
1;dessert-4;dessert-1;dessert-3;dessert-2
2;dessert-4;dessert-2;dessert-1;dessert-3
2;dessert-2;dessert-1;dessert-3;dessert-4
1;dessert-3;dessert-4;dessert-1;dessert-2
3;dessert-2;dessert-1;dessert-4;dessert-3
1;dessert-2;dessert-4;dessert-3;dessert-1
1;dessert-3;dessert-2;dessert-1;dessert-4
2;dessert-4;dessert-2;dessert-3;dessert-1
2;dessert-1;dessert-3;dessert-4;dessert-2
3;dessert-1;dessert-2;dessert-4;dessert-3
1;dessert-4;dessert-1;dessert-3;dessert-2
2;dessert-1;dessert-2;dessert-4;dessert-3
2;dessert-2;dessert-4;dessert-3;dessert-1
2;dessert-2;dessert-1;dessert-4;dessert-3
3;dessert-1;dessert-3;dessert-2;dessert-4
2;dessert-2;dessert-1;dessert-4;dessert-3
1;dessert-4;dessert-3;dessert-1;dessert-2
1;dessert-3;dessert-1;dessert-4;dessert-2
1;dessert-2;dessert-4;dessert-3;dessert-1
3;dessert-4;dessert-2;dessert-3;dessert-1
3;dessert-1;dessert-2;dessert-3;dessert-4
2;dessert-2;dessert-3;dessert-1;dessert-4
3;dessert-3;dessert-2;dessert-1;dessert-4
1;dessert-2;dessert-3;dessert-1;dessert-4
1;dessert-2;dessert-1;dessert-3;dessert-4
1;dessert-1;dessert-2;dessert-3;dessert-4
3;dessert-3;dessert-1;dessert-2;dessert-4
3;dessert-4;dessert-3;dessert-2;dessert-1
3;dessert-1;dessert-3;dessert-4;dessert-2
2;dessert-3;dessert-2;dessert-4;dessert-1
3;dessert-2;dessert-3;dessert-1;dessert-4
2;dessert-4;dessert-2;dessert-1;dessert-3
3;dessert-2;dessert-4;dessert-3;dessert-1
1;dessert-4;dessert-3;dessert-1;dessert-2
1;dessert-1;dessert-4;dessert-2;dessert-3
1;dessert-2;dessert-1;dessert-3;dessert-4
2;dessert-1;dessert-3;dessert-4;dessert-2
3;dessert-4;dessert-2;dessert-1;dessert-3
3;dessert-1;dessert-3;dessert-2;dessert-4
2;dessert-4;dessert-2;dessert-1;dessert-3
1;dessert-3;dessert-4;dessert-1;dessert-2
2;dessert-1;dessert-2;dessert-3;dessert-4
1;dessert-2;dessert-1;dessert-4;dessert-3
3;dessert-2;dessert-3;dessert-4;dessert-1
1;dessert-3;dessert-4;dessert-1;dessert-2
1;dessert-2;dessert-4;dessert-3;dessert-1
3;dessert-3;dessert-4;dessert-2;dessert-1
1;dessert-2;dessert-4;dessert-1;dessert-3
1;dessert-4;dessert-2;dessert-3;dessert-1
1;dessert-3;dessert-2;dessert-4;dessert-1
1;dessert-4;dessert-2;dessert-1;dessert-3
1;dessert-1;dessert-4;dessert-3;dessert-2
3;dessert-1;dessert-3;dessert-2;dessert-4
3;dessert-1;dessert-2;dessert-4;dessert-3
2;dessert-3;dessert-4;dessert-1;dessert-2
1;dessert-4;dessert-1;dessert-3;dessert-2
1;dessert-1;dessert-2;dessert-4;dessert-3
1;dessert-3;dessert-4;dessert-2;dessert-1
1;dessert-2;dessert-1;dessert-3;dessert-4
3;dessert-4;dessert-2;dessert-1;dessert-3
1;dessert-4;dessert-3;dessert-1;dessert-2
1;dessert-4;dessert-3;dessert-1;dessert-2
1;dessert-1;dessert-3;dessert-4;dessert-2
1;dessert-2;dessert-1;dessert-4;dessert-3
1;dessert-3;dessert-1;dessert-2;dessert-4
3;dessert-4;dessert-2;dessert-3;dessert-1
3;dessert-3;dessert-4;dessert-2;dessert-1
2;dessert-2;dessert-4;dessert-1;dessert-3
3;dessert-1;dessert-3;dessert-4;dessert-2
2;dessert-2;dessert-1;dessert-3;dessert-4
1;dessert-3;dessert-4;dessert-1;dessert-2
1;dessert-1;dessert-2;dessert-4;dessert-3
2;dessert-1;dessert-4;dessert-2;dessert-3
1;dessert-2;dessert-3;dessert-1;dessert-4
